R,Sigma
0.0001,1.0
0.01010990990990991,1.000812081352063
0.02011981981981982,0.9996853460990632
0.030129729729729732,0.9989459342059044
0.040139639639639645,0.9983781202205881
0.05014954954954955,0.997903505422224
0.06015945945945947,0.9974847651416349
0.07016936936936938,0.997101208456512
0.08017927927927929,0.9967401711368198
0.0901891891891892,0.9963933400397978
0.1001990990990991,0.9960549659152675
0.11020900900900901,0.9957209085891626
0.12021891891891894,0.995388088874761
0.13022882882882883,0.9950541556008475
0.14023873873873874,0.9947172738059117
0.15024864864864865,0.9943759847751551
0.16025855855855856,0.9940291105348541
0.17026846846846846,0.9936756868703764
0.18027837837837837,0.9933149152211944
0.19028828828828828,0.992946127409297
0.2002981981981982,0.9925687593003287
0.2103081081081081,0.9921823308131322
0.220318018018018,0.9917864305253733
0.23032792792792792,0.9913807036622598
0.24033783783783785,0.9909648426129365
0.25034774774774776,0.9905385793611086
0.26035765765765767,0.9901016793831805
0.2703675675675676,0.9896539366840614
0.2803774774774775,0.9891951697239263
0.2903873873873874,0.9887252180491498
0.3003972972972973,0.9882439394844871
0.3104072072072072,0.9877512077758998
0.3204171171171171,0.9872469105975592
0.33042702702702703,0.9867309478547678
0.34043693693693694,0.9862032302282342
0.35044684684684685,0.9856636779156228
0.36045675675675676,0.9851122195341294
0.37046666666666667,0.9845487911537634
0.3804765765765766,0.983973335435103
0.3904864864864865,0.9833858008479428
0.4004963963963964,0.9827861409481828
0.4105063063063063,0.9821743136892869
0.4205162162162162,0.9815502807405634
0.4305261261261261,0.9809140067756228
0.440536036036036,0.9802654586757057
0.45054594594594594,0.9796046045539081
0.46055585585585584,0.9789314124184505
0.47056576576576575,0.9782458480675136
0.4805756756756757,0.9775478710916953
0.4905855855855856,0.9768374244809273
0.5005954954954955,0.9760955058460915
0.5106054054054054,0.9753048832836814
0.5206153153153154,0.9744853025522265
0.5306252252252253,0.9736548469462953
0.5406351351351352,0.9728135428160638
0.5506450450450451,0.9719613994993582
0.560654954954955,0.9710984195136722
0.5706648648648649,0.9702246024887146
