OpenMP is enabled.
Number of threads = 8
app_name: lane_emden
G = 0.00043
Using algorithm: GSPH
Particle id: 4000 | n_neighbor: 24 | dens_i: 23.6923 | updated sml: 0.424206 | v_sig_max: 0.553635
Particle id: 2900 | n_neighbor: 25 | dens_i: 42.555 | updated sml: 0.348976 | v_sig_max: 0.663867
Particle id: 1550 | n_neighbor: 26 | dens_i: 33.6864 | updated sml: 0.377249 | v_sig_max: 0.625448
Particle id: 2550 | n_neighbor: 27 | dens_i: 54.0802 | updated sml: 0.322181 | v_sig_max: 0.708054
Particle id: 3400 | n_neighbor: 26 | dens_i: 25.1688 | updated sml: 0.415743 | v_sig_max: 0.585574
Particle id: 1950 | n_neighbor: 26 | dens_i: 35.1309 | updated sml: 0.372006 | v_sig_max: 0.617027
Particle id: 400 | n_neighbor: 27 | dens_i: 27.3241 | updated sml: 0.404511 | v_sig_max: 0.586285
Particle id: 900 | n_neighbor: 28 | dens_i: 16.4265 | updated sml: 0.479289 | v_sig_max: 0.506183
Particle id: 2950 | n_neighbor: 26 | dens_i: 43.4525 | updated sml: 0.346557 | v_sig_max: 0.671578
Particle id: 3450 | n_neighbor: 27 | dens_i: 44.5888 | updated sml: 0.343587 | v_sig_max: 0.671837
Particle id: 2000 | n_neighbor: 27 | dens_i: 46.7084 | updated sml: 0.33831 | v_sig_max: 0.682513
Particle id: 950 | n_neighbor: 28 | dens_i: 26.0708 | updated sml: 0.410892 | v_sig_max: 0.592221
Particle id: 3000 | n_neighbor: 24 | dens_i: 27.37 | updated sml: 0.404285 | v_sig_max: 0.589293
Particle id: 2050 | n_neighbor: 21 | dens_i: 11.404 | updated sml: 0.541288 | v_sig_max: 0.434458
Particle id: 3500 | n_neighbor: 27 | dens_i: 37.8157 | updated sml: 0.362985 | v_sig_max: 0.64622
Particle id: 450 | n_neighbor: 29 | dens_i: 13.9473 | updated sml: 0.506153 | v_sig_max: 0.496603
Particle id: 2600 | n_neighbor: 21 | dens_i: 21.0324 | updated sml: 0.441384 | v_sig_max: 0.507519
Particle id: 4050 | n_neighbor: 23 | dens_i: 19.7644 | updated sml: 0.450628 | v_sig_max: 0.529677
Particle id: 1000 | n_neighbor: 27 | dens_i: 35.6811 | updated sml: 0.370084 | v_sig_max: 0.63749
Particle id: 2100 | n_neighbor: 20 | dens_i: 22.6229 | updated sml: 0.430787 | v_sig_max: 0.513211
Particle id: 3050 | n_neighbor: 26 | dens_i: 21.4102 | updated sml: 0.438772 | v_sig_max: 0.538026
Particle id: 3550 | n_neighbor: 31 | dens_i: 11.2682 | updated sml: 0.543452 | v_sig_max: 0.471678
Particle id: 4100 | n_neighbor: 30 | dens_i: 6.40728 | updated sml: 0.655976 | v_sig_max: 0.416435
Particle id: 1050 | n_neighbor: 22 | dens_i: 13.4114 | updated sml: 0.512807 | v_sig_max: 0.464764
Particle id: 3100 | n_neighbor: 27 | dens_i: 15.606 | updated sml: 0.487546 | v_sig_max: 0.511238
Particle id: 500 | n_neighbor: 30 | dens_i: 6.40728 | updated sml: 0.655976 | v_sig_max: 0.416435
Particle id: 3600 | n_neighbor: 31 | dens_i: 17.6257 | updated sml: 0.468163 | v_sig_max: 0.526095
Particle id: 4150 | n_neighbor: 20 | dens_i: 17.9026 | updated sml: 0.465738 | v_sig_max: 0.492823
Particle id: 3150 | n_neighbor: 26 | dens_i: 42.3465 | updated sml: 0.349548 | v_sig_max: 0.666386
Particle id: 3650 | n_neighbor: 28 | dens_i: 38.6248 | updated sml: 0.360432 | v_sig_max: 0.643582
Particle id: 4200 | n_neighbor: 20 | dens_i: 8.30168 | updated sml: 0.601715 | v_sig_max: 0.383019
Initialization complete. Particle count=4224
write results/00000.dat
Particle id: 0 | n_neighbor: 20 | dens_i: 3.7769 | updated sml: 0.782349 | v_sig_max: 0.311361
Particle id: 3700 | n_neighbor: 27 | dens_i: 39.5689 | updated sml: 0.357543 | v_sig_max: 0.650528
Particle id: 1600 | n_neighbor: 21 | dens_i: 16.0797 | updated sml: 0.48271 | v_sig_max: 0.486708
Particle id: 550 | n_neighbor: 26 | dens_i: 23.7014 | updated sml: 0.424152 | v_sig_max: 0.570802
Particle id: 2150 | n_neighbor: 26 | dens_i: 35.1482 | updated sml: 0.371944 | v_sig_max: 0.620932
Particle id: 50 | n_neighbor: 20 | dens_i: 17.8915 | updated sml: 0.465833 | v_sig_max: 0.497549
Particle id: 1100 | n_neighbor: 27 | dens_i: 29.8825 | updated sml: 0.392621 | v_sig_max: 0.606589
Particle id: 3750 | n_neighbor: 24 | dens_i: 21.9598 | updated sml: 0.43508 | v_sig_max: 0.561058
Particle id: 1650 | n_neighbor: 27 | dens_i: 55.3284 | updated sml: 0.31974 | v_sig_max: 0.735455
Particle id: 600 | n_neighbor: 28 | dens_i: 26.0864 | updated sml: 0.41081 | v_sig_max: 0.588712
Particle id: 2200 | n_neighbor: 27 | dens_i: 50.5394 | updated sml: 0.329536 | v_sig_max: 0.701418
Particle id: 100 | n_neighbor: 20 | dens_i: 17.8915 | updated sml: 0.465833 | v_sig_max: 0.497549
Particle id: 2650 | n_neighbor: 27 | dens_i: 48.8611 | updated sml: 0.333266 | v_sig_max: 0.697138
Particle id: 1150 | n_neighbor: 24 | dens_i: 21.9598 | updated sml: 0.43508 | v_sig_max: 0.561058
Particle id: 3200 | n_neighbor: 27 | dens_i: 48.8611 | updated sml: 0.333266 | v_sig_max: 0.697138
Particle id: 3800 | n_neighbor: 26 | dens_i: 16.4574 | updated sml: 0.478989 | v_sig_max: 0.518582
Particle id: 1700 | n_neighbor: 21 | dens_i: 16.0797 | updated sml: 0.48271 | v_sig_max: 0.486708
Particle id: 650 | n_neighbor: 24 | dens_i: 9.75528 | updated sml: 0.570207 | v_sig_max: 0.457057
Particle id: 3250 | n_neighbor: 28 | dens_i: 32.0543 | updated sml: 0.383545 | v_sig_max: 0.616281
Particle id: 3850 | n_neighbor: 27 | dens_i: 34.0825 | updated sml: 0.375781 | v_sig_max: 0.615532
Particle id: 2250 | n_neighbor: 14 | dens_i: 14.5923 | updated sml: 0.498584 | v_sig_max: 0.415655
Particle id: 1750 | n_neighbor: 26 | dens_i: 27.7809 | updated sml: 0.402282 | v_sig_max: 0.58511
Particle id: 700 | n_neighbor: 31 | dens_i: 17.6134 | updated sml: 0.468272 | v_sig_max: 0.525308
Particle id: 700 | n_neighbor: 31 | dens_i: 17.6134 | updated sml: 0.468272 | v_sig_max: 0.525308
Particle id: 150 | n_neighbor: 31 | dens_i: 8.33716 | updated sml: 0.60086 | v_sig_max: 0.436228
Particle id: 2700 | n_neighbor: 27 | dens_i: 34.0825 | updated sml: 0.375781 | v_sig_max: 0.615532
Particle id: 2300 | n_neighbor: 27 | dens_i: 55.0863 | updated sml: 0.320207 | v_sig_max: 0.730432
Particle id: 3300 | n_neighbor: 26 | dens_i: 16.8523 | updated sml: 0.475218 | v_sig_max: 0.509988
Particle id: 1800 | n_neighbor: 18 | dens_i: 11.7494 | updated sml: 0.535929 | v_sig_max: 0.397686
Particle id: 2750 | n_neighbor: 30 | dens_i: 6.40587 | updated sml: 0.656024 | v_sig_max: 0.420577
Particle id: 750 | n_neighbor: 25 | dens_i: 21.8693 | updated sml: 0.43568 | v_sig_max: 0.56025
Particle id: 2350 | n_neighbor: 27 | dens_i: 23.0755 | updated sml: 0.427952 | v_sig_max: 0.567977
Particle id: 1850 | n_neighbor: 26 | dens_i: 40.9038 | updated sml: 0.35361 | v_sig_max: 0.650873
Particle id: 2800 | n_neighbor: 25 | dens_i: 42.5467 | updated sml: 0.348999 | v_sig_max: 0.657885
Particle id: 2800 | n_neighbor: 25 | dens_i: 42.5467 | updated sml: 0.348999 | v_sig_max: 0.657885
article id: 150 | n_neighbor: 31 | dens_i: 8.33716 | updated sml: 0.60086 | v_sig_max: 0.436228
Particle id: 3900 | n_neighbor: 26 | dens_i: 26.2937 | updated sml: 0.409728 | v_sig_max: 0.583143
Particle id: 1200 | n_neighbor: 26 | dens_i: 8.216 | updated sml: 0.603799 | v_sig_max: 0.422994
Particle id: 800 | n_neighbor: 28 | dens_i: 16.4352 | updated sml: 0.479205 | v_sig_max: 0.503719
Particle id: 2400 | n_neighbor: 28 | dens_i: 16.4352 | updated sml: 0.479205 | v_sig_max: 0.503719
Particle id: 200 | n_neighbor: 26 | dens_i: 21.4034 | updated sml: 0.438819 | v_sig_max: 0.543253
