# Time [s]: 0.401666
# Columns: pos_x [m], pos_y [m], vel_x [m/s], vel_y [m/s], acc_x [m/s^2], acc_y [m/s^2], mass [kg], dens [kg/m^3], pres [Pa], ene [J/kg], sml [m], id, neighbor, alpha, gradh, ...additional?
0.809145 0.0108717 -0.500623 0.0332238 0.0245052 0.479408 0.0008 1.18132 2.60048 3.20536 0.083054 0 28 0.299903 -0.000242536 
0.849131 0.00974069 -0.49973 0.0215956 -0.0052882 0.714672 0.0008 1.18112 2.5995 3.20506 0.0830613 1 28 0.301112 -0.000243751 
0.889098 0.00860102 -0.498957 0.00358439 0.125343 0.633621 0.0008 1.1806 2.5978 3.20413 0.0830793 2 28 0.301647 -0.000242781 
0.929083 0.00773667 -0.499635 -0.013636 0.250741 0.386644 0.0008 1.17945 2.59462 3.20209 0.08312 3 28 0.300248 -0.000237598 
0.969103 0.0074607 -0.500567 -0.0248375 0.257881 0.265538 0.0008 1.17783 2.59011 3.19925 0.0831772 4 28 0.297078 -0.000229852 
0.00912942 0.00776402 -0.50044 -0.0292306 0.19337 0.275032 0.0008 1.1763 2.58557 3.19653 0.0832312 5 28 0.292955 -0.000223797 
0.0491767 0.00848313 -0.499987 -0.028279 0.107072 0.252365 0.0008 1.17531 2.58252 3.19474 0.0832662 6 28 0.288578 -0.00022111 
0.0892544 0.00958104 -0.499788 -0.021266 -0.108127 0.00989282 0.0008 1.1754 2.58298 3.19503 0.0832629 7 28 0.286417 -0.000221758 
0.129336 0.0108145 -0.498949 -0.00801534 -0.35884 -0.338352 0.0008 1.17735 2.58879 3.19854 0.0831941 8 28 0.288315 -0.00022855 
0.169359 0.0117851 -0.497753 0.00948978 -0.342897 -0.393701 0.0008 1.18 2.59638 3.20304 0.0831005 9 28 0.293104 -0.000237727 
0.209302 0.0122557 -0.497663 0.0249377 -0.128072 -0.174663 0.0008 1.18161 2.60108 3.20571 0.0830441 10 28 0.297319 -0.000242679 
0.249216 0.0120698 -0.499219 0.0335085 0.0585864 0.0830985 0.0008 1.1817 2.60163 3.20589 0.0830407 11 28 0.299018 -0.000242342 
0.289161 0.0113549 -0.50069 0.0354629 0.0546635 0.324152 0.0008 1.18142 2.60088 3.20549 0.0830506 12 28 0.299683 -0.000241899 
0.329138 0.0103154 -0.50032 0.0285614 -0.00273554 0.615027 0.0008 1.18124 2.60007 3.20526 0.0830569 13 28 0.300607 -0.000243083 
0.369114 0.00915293 -0.499231 0.0127834 0.0461584 0.720098 0.0008 1.18098 2.59896 3.2048 0.083066 14 28 0.301644 -0.000243919 
0.409085 0.0081128 -0.499266 -0.00541145 0.206578 0.518429 0.0008 1.18013 2.59644 3.20326 0.083096 15 28 0.301133 -0.00024087 
0.449089 0.00751258 -0.500123 -0.0200635 0.268391 0.311583 0.0008 1.17861 2.59231 3.20061 0.0831496 16 28 0.298632 -0.000233564 
0.489115 0.00755757 -0.500599 -0.0277263 0.222881 0.26794 0.0008 1.17701 2.58773 3.19781 0.0832062 17 28 0.295075 -0.000226344 
0.529146 0.00809108 -0.500167 -0.0292829 0.162947 0.286193 0.0008 1.17573 2.58374 3.19546 0.0832514 18 28 0.290582 -0.000222212 
0.569209 0.00898877 -0.499812 -0.0256723 0.0173297 0.156073 0.0008 1.17515 2.58215 3.19452 0.0832718 19 28 0.287153 -0.000220772 
0.609297 0.010199 -0.49951 -0.0154106 -0.251453 -0.182921 0.0008 1.17621 2.58547 3.19653 0.0832344 20 28 0.2869 -0.000224474 
0.649357 0.0113442 -0.49836 0.0004126 -0.391211 -0.413105 0.0008 1.17875 2.59284 3.20095 0.0831446 21 28 0.290644 -0.000233304 
0.689334 0.0120972 -0.49739 0.0179055 -0.241712 -0.297612 0.0008 1.18102 2.59935 3.20475 0.0830645 22 28 0.295473 -0.000240909 
0.729255 0.012234 -0.498302 0.0299873 -0.0175552 -0.0371997 0.0008 1.18179 2.60175 3.20602 0.0830375 23 28 0.298416 -0.000242861 
0.76918 0.0117696 -0.500233 0.0353121 0.0816367 0.189769 0.0008 1.18156 2.6013 3.20568 0.0830457 24 28 0.299322 -0.000241852 
0.829004 0.0393659 -0.503021 0.0137578 0.26153 1.38029 0.0008 1.0792 2.51802 3.47854 0.0868947 25 31 0.274961 1.40712e-05 
0.86916 0.0382049 -0.50728 0.0051541 0.182723 1.55747 0.0008 1.0781 2.51377 3.47596 0.0869392 26 31 0.272073 1.52814e-05 
0.909374 0.037092 -0.508536 -0.00789166 -0.0212277 1.65851 0.0008 1.07863 2.51394 3.47644 0.086918 27 32 0.268933 1.35766e-05 
0.94939 0.0364841 -0.507364 -0.021184 -0.11541 1.49262 0.0008 1.07972 2.51685 3.47866 0.0868738 28 31 0.268034 9.37788e-06 
0.989451 0.0366013 -0.503987 -0.0300755 -0.0920399 1.06801 0.0008 1.08027 2.5197 3.48054 0.0868518 29 31 0.267004 5.76801e-06 
0.0295119 0.0372013 -0.50016 -0.0319013 -0.127639 0.545674 0.0008 1.08096 2.52293 3.48262 0.0868243 30 31 0.265871 2.79493e-06 
0.0693773 0.0381571 -0.495596 -0.0237776 -0.167507 0.221843 0.0008 1.08183 2.52668 3.48486 0.0867891 31 31 0.265967 1.34015e-06 
0.109202 0.0392499 -0.491165 -0.00791334 -0.0456821 0.556541 0.0008 1.0827 2.52977 3.48647 0.0867544 32 31 0.270654 3.37814e-06 
0.149126 0.0402143 -0.489288 0.00566962 0.102575 1.27891 0.0008 1.08296 2.53033 3.48612 0.086744 33 32 0.275988 1.05413e-05 
